iter	Passed	Remaining
0	139	139281
1	140	69976
2	140	46820
3	141	35234
4	142	28284
5	142	23655
6	143	20340
7	143	17853
8	144	15917
9	145	14397
10	146	13138
11	146	12085
12	147	11192
13	148	10426
14	148	9762
15	149	9181
16	149	8667
17	150	8211
18	151	7807
19	151	7440
20	152	7107
21	153	6806
22	153	6530
23	154	6276
24	154	6042
25	155	5826
26	156	5626
27	156	5440
28	157	5267
29	157	5105
30	158	4955
31	159	4814
32	159	4682
33	160	4557
34	161	4439
35	161	4329
36	162	4223
37	162	4123
38	163	4027
39	164	3937
40	164	3850
41	165	3772
42	166	3694
43	166	3621
44	167	3555
45	168	3486
46	168	3421
47	169	3358
48	169	3298
49	170	3240
50	171	3185
51	171	3131
52	172	3079
53	172	3029
54	173	2981
55	174	2935
56	174	2890
57	175	2847
58	175	2806
59	176	2766
60	177	2727
61	177	2688
62	178	2652
63	178	2616
64	179	2582
65	180	2548
66	180	2516
67	181	2485
68	181	2454
69	182	2425
70	183	2397
71	183	2368
72	184	2341
73	184	2314
74	185	2288
75	186	2263
76	186	2241
77	187	2217
78	188	2193
79	188	2170
80	189	2149
81	190	2127
82	190	2103
83	190	2082
84	191	2062
85	192	2042
86	192	2023
87	193	2004
88	194	1986
89	194	1968
90	195	1950
91	195	1933
92	196	1916
93	197	1899
94	197	1883
95	198	1867
96	198	1851
97	199	1836
98	200	1821
99	200	1806
100	201	1792
101	202	1779
102	202	1765
103	203	1752
104	204	1739
105	204	1726
106	205	1713
107	205	1700
108	206	1688
109	207	1676
110	207	1664
111	208	1652
112	209	1640
113	209	1631
114	210	1620
115	211	1611
116	212	1600
117	212	1590
118	213	1581
119	214	1571
120	214	1561
121	215	1550
122	216	1541
123	216	1531
124	217	1522
125	218	1513
126	218	1503
127	219	1494
128	220	1486
129	220	1477
130	221	1468
131	222	1460
132	222	1451
133	223	1443
134	223	1434
135	224	1426
136	225	1418
137	225	1410
138	226	1402
139	227	1395
140	227	1388
141	228	1379
142	228	1372
143	229	1365
144	230	1358
145	230	1351
146	231	1343
147	232	1336
148	232	1329
149	233	1323
150	234	1316
151	234	1309
152	235	1303
153	236	1296
154	236	1290
155	237	1284
156	238	1278
157	238	1271
158	239	1265
159	239	1259
160	240	1252
161	240	1245
162	241	1240
163	242	1234
164	242	1229
165	243	1223
166	244	1218
167	245	1213
168	245	1208
169	246	1203
170	247	1197
171	247	1192
172	248	1187
173	248	1181
174	249	1176
175	250	1171
176	250	1165
177	251	1160
178	251	1155
179	252	1150
180	253	1145
181	253	1140
182	254	1135
183	254	1130
184	255	1125
185	256	1120
186	256	1115
187	257	1111
188	258	1107
189	258	1103
190	259	1099
191	260	1095
192	261	1091
193	261	1086
194	262	1082
195	262	1078
196	263	1073
197	263	1069
198	264	1064
199	265	1060
200	266	1057
201	266	1053
202	267	1050
203	268	1047
204	269	1043
205	269	1039
206	270	1036
207	271	1032
208	271	1029
209	272	1026
210	273	1022
211	273	1018
212	274	1014
213	275	1011
214	275	1007
215	276	1003
216	277	999
217	277	995
218	278	992
219	279	990
220	279	986
221	280	983
222	281	980
223	282	977
224	282	974
225	283	971
226	284	968
227	284	964
228	285	961
229	286	958
230	287	955
231	288	953
232	288	951
233	289	948
234	290	945
235	291	942
236	291	939
237	292	936
238	293	933
239	293	930
240	294	927
241	295	924
242	295	921
243	296	918
244	297	915
245	297	912
246	298	909
247	298	906
248	299	903
249	300	901
250	301	898
251	301	895
252	302	892
253	303	890
254	303	887
255	304	884
256	305	882
257	305	879
258	306	877
259	307	874
260	307	871
261	308	869
262	309	866
263	309	864
264	310	861
265	311	859
266	311	856
267	312	853
268	313	851
269	314	849
270	314	846
271	315	844
272	316	842
273	317	839
274	317	838
275	318	836
276	319	834
277	320	832
278	321	830
279	321	827
280	322	825
281	323	823
282	324	821
283	324	818
284	325	816
285	326	814
286	326	811
287	327	809
288	328	807
289	329	805
290	329	803
291	330	801
292	331	799
293	331	796
294	332	794
295	333	792
296	333	790
297	334	788
298	335	785
299	335	783
300	336	781
301	337	779
302	337	776
303	338	774
304	338	772
305	339	769
306	340	767
307	340	765
308	341	763
309	342	761
310	342	759
311	343	757
312	344	755
313	344	753
314	345	751
315	346	749
316	347	748
317	347	746
318	348	744
319	349	742
320	350	740
321	350	738
322	351	736
323	352	734
324	352	732
325	353	731
326	354	729
327	355	727
328	355	725
329	356	723
330	357	721
331	357	719
332	358	718
333	359	716
334	360	714
335	360	713
336	361	711
337	362	709
338	363	708
339	364	706
340	365	705
341	365	703
342	366	702
343	367	700
344	368	698
345	368	697
346	369	695
347	370	693
348	371	692
349	371	690
350	372	688
351	373	686
352	373	685
353	374	683
354	375	681
355	376	680
356	376	678
357	377	677
358	378	675
359	379	673
360	380	672
361	380	671
362	381	669
363	382	668
364	383	666
365	384	665
366	384	663
367	385	662
368	386	660
369	386	658
370	387	657
371	388	655
372	388	653
373	389	652
374	390	650
375	390	648
376	391	647
377	392	645
378	392	643
379	393	642
380	394	640
381	395	639
382	396	638
383	396	636
384	397	635
385	398	633
386	399	632
387	399	630
388	400	628
389	401	627
390	401	625
391	402	624
392	402	622
393	403	620
394	404	619
395	404	617
396	405	615
397	406	614
398	406	612
399	407	611
400	408	609
401	408	608
402	409	606
403	410	605
404	411	603
405	411	602
406	412	600
407	412	599
408	413	597
409	414	595
410	414	594
411	415	593
412	416	591
413	416	590
414	417	588
415	418	586
416	418	585
417	419	583
418	419	582
419	420	580
420	421	579
421	421	577
422	422	576
423	422	574
424	423	572
425	424	571
426	424	570
427	425	568
428	426	567
429	426	565
430	427	564
431	428	563
432	428	561
433	429	560
434	430	558
435	430	557
436	431	555
437	431	554
438	432	552
439	433	551
440	433	549
441	434	548
442	434	546
443	435	545
444	436	543
445	436	542
446	437	540
447	437	539
448	438	538
449	439	536
450	439	535
451	440	534
452	441	532
453	441	531
454	442	529
455	443	528
456	443	527
457	444	525
458	445	524
459	445	523
460	446	521
461	446	520
462	447	519
463	448	517
464	449	516
465	449	515
466	450	513
467	450	512
468	451	511
469	452	509
470	452	508
471	453	507
472	453	505
473	454	504
474	455	503
475	455	501
476	456	500
477	457	499
478	457	497
479	458	496
480	458	495
481	459	493
482	460	492
483	460	491
484	461	489
485	461	488
486	462	487
487	463	485
488	463	484
489	464	483
490	465	482
491	465	480
492	466	479
493	467	478
494	467	477
495	468	475
496	468	474
497	469	473
498	469	471
499	470	470
500	471	469
501	471	468
502	472	466
503	473	465
504	473	464
505	474	463
506	475	461
507	475	460
508	476	459
509	476	458
510	477	456
511	478	455
512	478	454
513	479	453
514	479	451
515	480	450
516	481	449
517	481	448
518	482	446
519	482	445
520	483	444
521	484	443
522	484	442
523	485	441
524	486	439
525	487	439
526	487	437
527	488	436
528	489	435
529	489	434
530	490	433
531	490	431
532	491	430
533	492	429
534	492	428
535	493	427
536	494	426
537	494	424
538	495	423
539	496	422
540	496	421
541	497	420
542	498	419
543	499	418
544	499	417
545	500	416
546	501	415
547	502	414
548	503	413
549	503	412
550	504	411
551	505	410
552	505	408
553	506	407
554	507	406
555	507	405
556	508	404
557	509	403
558	510	402
559	510	401
560	511	400
561	511	398
562	512	397
563	513	396
564	513	395
565	514	394
566	515	393
567	515	392
568	516	391
569	517	390
570	517	389
571	518	388
572	519	386
573	519	385
574	520	384
575	521	383
576	522	382
577	522	381
578	523	380
579	523	379
580	524	378
581	525	377
582	525	376
583	526	375
584	527	374
585	528	373
586	528	372
587	529	371
588	530	370
589	531	369
590	531	368
591	532	366
592	533	365
593	533	364
594	534	363
595	535	362
596	535	361
597	536	360
598	536	359
599	537	358
600	537	357
601	538	356
602	539	354
603	539	353
604	540	352
605	540	351
606	541	350
607	541	349
608	542	348
609	543	347
610	543	346
611	544	345
612	544	344
613	545	342
614	546	342
615	546	340
616	547	339
617	548	338
618	548	337
619	549	336
620	550	335
621	550	334
622	551	333
623	551	332
624	552	331
625	553	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	324
632	557	323
633	557	322
634	558	320
635	558	319
636	559	318
637	560	317
638	560	316
639	561	315
640	562	314
641	562	313
642	563	312
643	564	311
644	564	310
645	565	309
646	566	308
647	566	307
648	567	306
649	567	305
650	568	304
651	569	303
652	569	302
653	570	301
654	570	300
655	571	299
656	572	298
657	572	297
658	573	296
659	573	295
660	574	294
661	574	293
662	575	292
663	576	291
664	576	290
665	577	289
666	578	288
667	579	287
668	579	286
669	580	285
670	581	284
671	581	283
672	582	282
673	582	281
674	583	280
675	584	280
676	584	279
677	585	278
678	586	277
679	586	276
680	587	275
681	587	274
682	588	273
683	589	272
684	589	271
685	590	270
686	590	269
687	591	268
688	592	267
689	592	266
690	593	265
691	594	264
692	595	263
693	595	262
694	596	261
695	597	260
696	597	259
697	598	258
698	598	257
699	599	256
700	600	255
701	600	255
702	601	254
703	601	253
704	602	252
705	603	251
706	603	250
707	604	249
708	604	248
709	605	247
710	605	246
711	606	245
712	607	244
713	607	243
714	608	242
715	609	241
716	609	240
717	610	239
718	611	238
719	611	237
720	612	236
721	612	236
722	613	235
723	614	234
724	614	233
725	615	232
726	616	231
727	616	230
728	617	229
729	618	228
730	618	227
731	619	226
732	619	225
733	620	224
734	620	223
735	621	222
736	622	222
737	622	221
738	623	220
739	624	219
740	624	218
741	625	217
742	626	216
743	626	215
744	627	214
745	627	213
746	628	212
747	629	211
748	629	211
749	630	210
750	631	209
751	631	208
752	632	207
753	632	206
754	633	205
755	634	204
756	634	203
757	635	202
758	636	201
759	636	201
760	637	200
761	638	199
762	638	198
763	639	197
764	639	196
765	640	195
766	641	194
767	641	193
768	642	192
769	643	192
770	643	191
771	644	190
772	645	189
773	645	188
774	646	187
775	647	186
776	647	185
777	648	185
778	648	184
779	649	183
780	650	182
781	651	181
782	651	180
783	652	179
784	653	178
785	653	178
786	654	177
787	655	176
788	655	175
789	656	174
790	657	173
791	657	172
792	658	171
793	659	171
794	659	170
795	660	169
796	661	168
797	661	167
798	662	166
799	663	165
800	663	164
801	664	164
802	665	163
803	665	162
804	666	161
805	666	160
806	667	159
807	668	158
808	668	157
809	669	157
810	670	156
811	670	155
812	671	154
813	672	153
814	672	152
815	673	151
816	673	150
817	674	150
818	675	149
819	675	148
820	676	147
821	676	146
822	677	145
823	678	144
824	678	144
825	679	143
826	680	142
827	680	141
828	681	140
829	681	139
830	682	138
831	683	137
832	683	137
833	684	136
834	684	135
835	685	134
836	686	133
837	686	132
838	687	131
839	687	131
840	688	130
841	689	129
842	689	128
843	690	127
844	690	126
845	691	125
846	692	125
847	692	124
848	693	123
849	693	122
850	694	121
851	695	120
852	695	119
